Activity Type,Date,Favorite,Title,Distance,Calories,Total Time,Avg HR,Max HR,Aerobic TE,Avg Bike Cadence,Max Bike Cadence,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Stride Length,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Total Strokes,Avg. Swolf,Avg Stroke Rate,Steps,Decompression,Best Lap Time,Number of Laps,Total Runs,Longest Run,Max Speed,Active Time,Total Run Distance,Avg Run Speed,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Cardio,2025-01-27 19:09:53,false,"Bristol Cardio","2.59","530","00:38:35","156","195","3.4","--","--","4.0","22.8","21","22","--","--","--","0.0","--","--","--","--","--","3,062","No","00:38:35","1","--","--","--","--","--","--","00:22:14","00:38:35","75","82"
Cardio,2025-01-24 14:43:05,false,"Cardio","0.00","423","00:51:23","123","166","1.7","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","1,010","No","00:51:23","1","--","--","--","--","--","--","00:00:00","00:51:23","85","92"
Treadmill Running,2025-01-24 13:57:00,false,"Treadmill Running","5.20","415","00:25:39","169","190","3.6","156","210","4:56","4:24","--","--","1.30","--","502","0.0","485","589","--","--","--","3,976","No","00:02:48.5","4","--","--","--","--","--","--","00:24:38","00:25:39","--","--"
Cardio,2025-01-22 13:56:08,false,"Bristol Cardio","0.00","390","00:58:58","115","166","1.5","--","--","0.0","4.5","--","--","--","--","--","0.0","--","--","--","--","--","1,164","No","00:58:58","1","--","--","--","--","--","--","00:00:07","00:58:58","86","92"
Cardio,2025-01-20 20:42:33,false,"Bristol Cardio","1.93","388","00:39:47","139","182","2.4","--","--","2.9","24.2","27","15","--","--","--","0.0","--","--","--","--","--","2,098","No","00:39:47","1","--","--","--","--","--","--","00:17:31","00:39:47","66","83"
Cardio,2025-01-20 14:31:39,false,"Bristol Cardio","0.03","365","00:59:11","110","171","1.3","--","--","0.0","4.9","--","--","--","--","--","0.0","--","--","--","--","--","1,154","No","00:59:11","1","--","--","--","--","--","--","00:00:12","00:59:11","84","91"
Treadmill Running,2025-01-19 10:35:07,false,"Treadmill Running","0.98","58","00:04:00.5","161","175","1.6","168","176","4:06","3:50","--","--","1.45","--","553","0.0","542","593","--","--","--","674","No","00:04:00.5","1","--","--","--","--","--","--","00:03:59","00:04:00.5","--","--"
Treadmill Running,2025-01-19 10:22:07,false,"Treadmill Running","1.19","71","00:05:00.2","159","173","1.8","166","176","4:12","3:46","--","--","1.44","--","557","0.0","530","603","--","--","--","834","No","00:05:00.2","1","--","--","--","--","--","--","00:04:49","00:05:00.2","--","--"
Cardio,2025-01-16 15:15:48,false,"Cardio","0.00","321","00:53:14","107","151","0.9","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","776","No","00:53:14","1","--","--","--","--","--","--","00:00:00","00:53:14","76","81"
Cardio,2025-01-14 14:46:36,false,"Bristol Cardio","0.01","412","00:59:59","118","199","1.9","--","--","0.0","4.2","--","--","--","--","--","0.0","--","--","--","--","--","896","No","00:59:59","1","--","--","--","--","--","--","00:00:10","00:59:59","82","89"
Cardio,2025-01-13 19:59:30,false,"Bristol Cardio","1.75","396","00:35:25","149","193","3.0","--","--","3.0","20.9","15","5","--","--","--","0.0","--","--","--","--","--","2,042","No","00:35:25","1","--","--","--","--","--","--","00:14:50","00:35:25","67","80"
Treadmill Running,2025-01-09 13:53:55,false,"Treadmill Running","9.83","859","00:57:37","168","192","5.0","155","163","5:52","4:31","--","--","1.10","--","392","0.0","383","513","--","--","--","8,892","No","00:01:34.5","7","--","--","--","--","--","--","00:57:15","00:57:37","--","--"
Cardio,2025-01-08 09:19:50,false,"Bristol Cardio","0.29","446","01:13:23","109","162","1.4","--","--","0.2","7.5","--","--","--","--","--","0.0","--","--","--","--","--","1,168","No","01:13:23","1","--","--","--","--","--","--","00:02:54","01:13:23","80","89"
Cardio,2025-01-06 19:15:47,false,"Bristol Cardio","1.72","426","00:32:27","161","197","3.5","--","--","3.2","20.8","14","14","--","--","--","0.0","--","--","--","--","--","2,136","No","00:32:27","1","--","--","--","--","--","--","00:13:02","00:32:27","69","77"
Cardio,2025-01-04 15:55:28,false,"Bristol Cardio","1.05","476","01:05:47","121","188","2.5","--","--","1.0","5.7","10","4","--","--","--","0.0","--","--","--","--","--","2,878","No","01:05:47","1","--","--","--","--","--","--","00:11:33","01:05:47","70","82"
Treadmill Running,2025-01-04 15:26:58,false,"Treadmill Running","4.97","408","00:26:21","171","197","4.3","157","163","5:18","4:26","--","--","1.20","--","429","0.0","424","525","--","--","--","4,114","No","00:00:51.2","4","--","--","--","--","--","--","00:26:13","00:26:21","--","--"
Cardio,2025-01-03 08:29:14,false,"Cardio","0.00","304","00:39:53","125","169","2.8","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","658","No","00:39:53","1","--","--","--","--","--","--","00:00:00","00:52:02","84","90"
Cardio,2024-12-31 10:02:23,false,"Bristol Cardio","1.20","319","00:37:34","127","165","2.2","--","--","1.9","10.5","6","12","--","--","--","0.0","--","--","--","--","--","1,720","No","00:37:34","1","--","--","--","--","--","--","00:11:35","00:37:34","84","91"
Treadmill Running,2024-12-31 09:38:24,false,"Treadmill Running","2.59","264","00:21:37","152","195","3.4","96","176","8:21","3:33","--","--","1.15","--","445","0.0","260","636","--","--","--","2,352","No","00:06:40.1","2","--","--","--","--","--","--","00:13:15","00:21:37","--","--"
Surfing,2024-12-28 12:29:14,false,"Tamri Surfing","4.47","861","01:43:21","132","184","3.1","--","--","2.6","60.5","--","--","--","--","--","0.0","--","--","--","--","--","--","No","01:43:21","1","8","34","19.2","4:52.2","0.23","21.8","00:10:32","01:43:23","--","--"
Cardio,2024-12-28 08:01:24,false,"Taghazout Cardio","0.69","207","01:00:00","89","124","0.4","--","--","0.7","99.1","64","37","--","--","--","0.0","--","--","--","--","--","--","No","01:00:00","1","--","--","--","--","--","--","00:03:13","01:00:00","351","382"
Surfing,2024-12-27 13:34:43,false,"Tamri Surfing","2.67","947","01:52:30","139","188","3.5","--","--","1.4","89.6","--","--","--","--","--","0.0","--","--","--","--","--","--","No","01:52:30","1","6","34","84.8","3:29.4","0.10","37.8","00:10:13","01:52:30","--","--"
Cardio,2024-12-27 08:02:48,false,"Taghazout Cardio","0.58","213","01:02:17","85","119","0.3","--","--","0.6","22.0","19","3","--","--","--","0.0","--","--","--","--","--","248","No","01:02:17","1","--","--","--","--","--","--","00:03:41","01:02:17","360","383"
Cardio,2024-12-26 08:25:31,false,"Taghazout Cardio","11.74","251","01:30:33","79","108","0.2","--","--","7.8","94.6","298","338","--","--","--","0.0","--","--","--","--","--","344","No","01:30:33","1","--","--","--","--","--","--","00:23:48","01:30:33","101","391"
Surfing,2024-12-25 13:34:31,false,"Tamri Surfing","1.87","555","01:11:53","127","162","2.4","--","--","1.6","46.5","--","--","--","--","--","0.0","--","--","--","--","--","--","No","01:11:53","1","6","47","46.5","1:51.1","0.17","17.9","00:07:00","01:11:59","--","--"
Cardio,2024-12-25 08:03:47,false,"Taghazout Cardio","1.27","310","01:25:32","88","135","0.4","--","--","0.9","64.7","23","1","--","--","--","0.0","--","--","--","--","--","184","No","01:25:32","1","--","--","--","--","--","--","00:08:30","01:25:32","311","348"
Surfing,2024-12-24 16:34:52,false,"Taghazout Surfing","1.67","722","01:33:28","127","173","2.9","--","--","1.1","54.9","--","--","--","--","--","0.0","--","--","--","--","--","--","No","01:33:28","1","4","40","54.9","1:49.2","0.10","--","00:05:33","01:33:28","--","--"
Cardio,2024-12-18 13:53:27,false,"Bristol Cardio","0.02","296","00:26:55","139","169","2.8","--","--","0.0","11.5","--","4","--","--","--","0.0","--","--","--","--","--","706","No","00:26:55","1","--","--","--","--","--","--","00:00:14","00:26:55","105","111"
Treadmill Running,2024-12-13 12:00:58,false,"Treadmill Running","9.14","740","00:57:02","157","191","5.0","147","165","6:14","4:16","--","--","1.09","--","384","0.0","351","530","--","--","--","8,378","No","00:06:24.4","6","--","--","--","--","--","--","00:56:29","00:57:02","--","--"
Cardio,2024-12-10 12:16:08,false,"Bristol Cardio","1.44","594","01:21:46","122","171","2.9","--","--","1.1","32.1","56","29","--","--","--","0.0","--","--","--","--","--","784","No","01:21:46","1","--","--","--","--","--","--","00:12:23","01:21:46","-6","50"
Cardio,2024-12-06 12:16:35,false,"Bristol Cardio","0.05","326","00:32:06","135","168","2.8","--","--","0.1","12.0","3","--","--","--","--","0.0","--","--","--","--","--","562","No","00:32:06","1","--","--","--","--","--","--","00:00:15","00:32:06","87","95"
Cardio,2024-12-03 19:33:10,false,"Bristol Cardio","6.69","198","00:24:42","121","147","2.0","--","--","16.3","6.9","--","--","--","--","--","0.0","--","--","--","--","--","186","No","00:24:42","1","--","--","--","--","--","--","00:00:02","00:24:42","1","10"
Treadmill Running,2024-12-03 19:04:31,false,"Treadmill Running","2.89","252","00:16:19","174","189","4.2","151","167","5:39","4:31","--","--","1.17","--","417","0.0","389","507","--","--","--","2,476","No","00:08:05.4","2","--","--","--","--","--","--","00:16:05","00:16:19","--","--"
Cardio,2024-12-02 10:24:59,false,"Bristol Cardio","0.01","594","01:09:33","128","176","3.1","--","--","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","1,014","No","01:09:33","1","--","--","--","--","--","--","00:00:00","01:09:33","154","165"
Cardio,2024-11-30 18:58:59,false,"Bristol Cardio","2.46","292","00:35:34","123","165","2.4","--","--","4.2","32.6","27","23","--","--","--","0.0","--","--","--","--","--","472","No","00:35:34","1","--","--","--","--","--","--","00:16:30","00:35:34","2","16"
Cardio,2024-11-29 06:51:55,false,"Bristol Cardio","68.86","325","00:35:30","129","171","2.7","--","--","116.4","42.6","21","19","--","--","--","0.0","--","--","--","--","--","944","No","00:35:30","1","--","--","--","--","--","--","00:05:48","00:35:30","-2","9"
Cardio,2024-11-06 11:22:37,false,"Bristol Cardio","3.61","401","01:14:50","105","156","0.9","--","--","2.9","44.7","37","28","--","--","--","0.0","--","--","--","--","--","1,366","No","01:14:50","1","--","--","--","--","--","--","00:12:38","01:14:50","14","32"
Cardio,2024-11-04 14:41:46,false,"Bristol Cardio","0.00","446","01:02:15","118","154","1.5","--","--","0.0","5.7","--","--","--","--","--","0.0","--","--","--","--","--","666","No","01:02:15","1","--","--","--","--","--","--","00:00:03","01:02:15","32","36"
Running,2024-11-02 10:56:00,false,"Taunton Deane Running","3.64","304","00:18:33","179","197","3.7","155","167","5:05","4:02","27","18","1.27","5:06","474","0.0","465","654","--","--","--","2,866","No","00:01:56.2","3","--","--","--","--","--","--","00:18:27","00:18:33","28","47"
Cardio,2024-10-29 07:29:15,false,"Cardio","0.00","339","00:53:50","110","146","0.7","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","708","No","00:53:50","1","--","--","--","--","--","--","00:00:00","00:53:50","22","27"
Cardio,2024-10-28 07:28:45,false,"Cardio","0.00","432","01:10:16","111","149","0.8","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","488","No","01:10:16","1","--","--","--","--","--","--","00:00:00","01:10:16","26","35"
Cardio,2024-10-27 09:34:52,false,"Bristol Cardio","2.96","375","00:53:09","114","180","2.0","--","--","3.3","9.0","50","45","--","--","--","0.0","--","--","--","--","--","3,778","No","00:53:09","1","--","--","--","--","--","--","00:35:08","00:53:09","15","43"
Cardio,2024-10-26 11:00:14,false,"Bristol Cardio","3.48","367","00:53:25","118","189","2.4","--","--","3.9","13.9","48","46","--","--","--","0.0","--","--","--","--","--","4,550","No","00:53:25","1","--","--","--","--","--","--","00:40:27","00:53:25","14","43"
Pool Swim,2024-10-25 08:19:42,false,"Pool Swim","825","187","00:17:00","134","146","1.7","--","--","2:04","0:57","--","--","--","--","--","0.0","--","--","473","45","28","--","No","00:17:00","1","--","--","--","--","--","--","00:17:00","00:17:06","--","--"
Cardio,2024-10-25 07:56:14,false,"Cardio","0.00","205","00:22:56","125","151","1.3","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","690","No","00:22:56","1","--","--","--","--","--","--","00:00:00","00:22:56","120","129"
Cardio,2024-10-23 07:30:54,false,"Cardio","0.00","404","00:50:02","122","154","1.8","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","366","No","00:50:02","1","--","--","--","--","--","--","00:00:00","00:50:02","126","134"
Pool Swim,2024-10-22 07:47:02,false,"Pool Swim","1,050","281","00:22:24","150","186","2.7","--","--","2:08","0:45","--","--","--","--","--","0.0","--","--","611","47","27","--","No","00:22:24","1","--","--","--","--","--","--","00:22:24","00:22:27","--","--"
Cardio,2024-10-21 13:16:03,false,"Cardio","0.00","291","00:23:05","149","175","2.5","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","166","No","00:23:05","1","--","--","--","--","--","--","00:00:00","00:23:06","61","65"
Treadmill Running,2024-10-21 12:38:04,false,"Treadmill Running","5.73","456","00:26:25","181","199","4.4","157","174","4:37","3:47","--","--","1.38","--","507","0.0","498","635","--","--","--","4,126","No","00:04:31.8","4","--","--","--","--","--","--","00:25:59","00:26:25","--","--"
Pool Swim,2024-10-16 07:54:55,false,"Pool Swim","1,000","362","00:23:52","178","192","3.3","--","--","2:23","0:52","--","--","--","--","--","0.0","--","--","618","51","26","--","No","00:23:52","1","--","--","--","--","--","--","00:23:52","00:23:57","--","--"
Cardio,2024-10-16 07:03:05,false,"Cardio","0.00","409","00:49:41","119","161","2.0","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","888","No","00:49:41","1","--","--","--","--","--","--","00:00:00","00:49:41","189","197"
Pool Swim,2024-10-14 07:51:09,false,"Pool Swim","1,000","446","00:31:28","166","191","3.3","--","--","3:09","1:44","--","--","--","--","--","0.0","--","--","669","64","21","--","No","00:31:28","1","--","--","--","--","--","--","00:31:28","00:31:33","--","--"
Cardio,2024-10-14 07:01:20,false,"Cardio","0.00","340","00:39:15","121","158","2.0","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","400","No","00:39:15","1","--","--","--","--","--","--","00:00:00","00:39:15","85","92"
Cardio,2024-10-13 07:52:53,false,"Bristol Cardio","2.37","272","00:32:06","122","157","1.9","--","--","4.4","28.9","28","28","--","--","--","0.0","--","--","--","--","--","2,854","No","00:32:06","1","--","--","--","--","--","--","00:26:14","00:32:06","75","92"
Cardio,2024-10-12 09:55:00,false,"Bristol Cardio","3.16","357","00:54:23","110","188","1.5","--","--","3.5","130.1","70","36","--","--","--","0.0","--","--","--","--","--","3,926","No","00:54:23","1","--","--","--","--","--","--","00:36:25","00:54:23","-6","43"
Cardio,2024-10-11 12:45:21,false,"Bristol Cardio","0.39","366","00:37:01","132","171","2.3","--","--","0.6","22.5","10","2","--","--","--","0.0","--","--","--","--","--","296","No","00:37:01","1","--","--","--","--","--","--","00:03:21","00:37:01","-27","-17"
Cardio,2024-10-11 12:12:14,false,"Cardio","0.00","363","00:24:09","163","194","3.7","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","3,124","No","00:24:09","1","--","--","--","--","--","--","00:00:00","00:24:09","-21","-16"
Pool Swim,2024-10-10 07:49:35,false,"Pool Swim","1,000","322","00:22:11","160","183","3.2","--","--","2:05","0:52","--","--","--","--","--","0.0","--","--","624","47","30","--","No","00:22:11","1","--","--","--","--","--","--","00:20:55","00:22:16","--","--"
Cardio,2024-10-10 07:03:34,false,"Cardio","0.00","408","00:39:08","133","178","2.6","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","1,672","No","00:39:08","1","--","--","--","--","--","--","00:00:00","00:39:08","40","57"
Cardio,2024-10-08 12:04:19,false,"Cardio","0.00","300","00:36:10","118","161","1.9","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","304","No","00:36:10","1","--","--","--","--","--","--","00:00:00","00:36:10","120","128"
Pool Swim,2024-10-07 07:49:01,false,"Pool Swim","825","273","00:18:55","164","183","3.0","--","--","2:13","0:51","--","--","--","--","--","0.0","--","--","484","48","26","--","No","00:00:00.9","11","--","--","--","--","--","--","00:18:20","00:19:01","--","--"
Cardio,2024-10-07 07:00:51,false,"Cardio","0.00","354","00:40:12","120","183","2.1","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","470","No","00:40:12","1","--","--","--","--","--","--","00:00:00","00:40:12","68","76"
Cardio,2024-10-06 14:15:26,false,"Bristol Cardio","1.57","147","00:22:12","106","145","0.6","--","--","4.2","6.1","22","16","--","--","--","0.0","--","--","--","--","--","2,070","No","00:22:12","1","--","--","--","--","--","--","00:13:09","00:22:12","48","65"
Cardio,2024-10-05 09:50:55,false,"Cardio","0.00","304","00:25:30","138","160","2.4","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","214","No","00:25:30","1","--","--","--","--","--","--","00:00:00","00:25:32","9","58"
Cardio,2024-10-05 09:20:11,false,"Cardio","0.00","391","00:27:10","160","192","3.8","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","3,364","No","00:27:10","1","--","--","--","--","--","--","00:00:00","00:27:12","45","65"
Cardio,2024-10-03 07:37:18,false,"Bristol Cardio","0.08","371","00:45:18","120","163","2.0","--","--","0.1","4.1","--","5","--","--","--","0.0","--","--","--","--","--","460","No","00:45:18","1","--","--","--","--","--","--","00:00:07","00:45:18","176","183"
Cardio,2024-10-01 07:49:41,false,"Cardio","0.00","252","00:16:07","167","201","3.3","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","168","No","00:16:07","1","--","--","--","--","--","--","00:00:00","00:16:07","-54","162"
Cardio,2024-09-30 07:06:20,false,"Cardio","0.00","212","00:43:44","94","147","0.3","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","194","No","00:43:44","1","--","--","--","--","--","--","00:00:00","00:43:44","162","174"
Cardio,2024-09-28 13:50:14,false,"Powys Cardio","6.64","1,192","02:06:46","145","195","4.8","--","--","3.1","6.6","464","487","--","--","--","0.0","--","--","--","--","--","10,342","No","02:06:46","1","--","--","--","--","--","--","01:17:36","02:08:29","435","886"
Cardio,2024-09-27 08:52:02,false,"Cardio","0.00","314","00:22:01","156","181","4.0","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","502","No","00:22:01","1","--","--","--","--","--","--","00:00:00","00:22:01","-82","120"
Cardio,2024-09-24 08:55:06,false,"Cardio","0.00","331","00:21:23","166","199","4.6","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","254","No","00:21:23","1","--","--","--","--","--","--","00:00:00","00:21:23","-167","77"
Cardio,2024-09-20 09:38:14,false,"Cardio","0.00","244","00:19:22","144","183","3.5","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","308","No","00:19:22","1","--","--","--","--","--","--","00:00:00","00:19:22","-323","-3"
Cardio,2024-09-18 09:00:06,false,"Cardio","0.00","225","00:20:42","133","181","3.0","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","364","No","00:20:42","1","--","--","--","--","--","--","00:00:00","00:20:42","-394","8"
Cardio,2024-09-10 08:46:05,false,"Cardio","0.00","183","00:14:56","141","183","3.0","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","308","No","00:14:56","1","--","--","--","--","--","--","00:00:00","00:14:57","-303","35"
Cardio,2024-09-08 14:07:17,false,"Cardio","0.00","147","00:13:52","128","166","2.4","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","398","No","00:13:52","1","--","--","--","--","--","--","00:00:00","00:13:52","-234","71"
Cardio,2024-05-14 16:10:23,false,"Bristol Cardio","1.97","232","00:21:27","134","187","3.0","--","--","5.5","8.0","29","27","--","--","--","0.0","--","--","--","--","--","2,290","No","00:21:27","1","--","--","--","--","--","--","00:20:32","00:21:27","22","42"
Cardio,2024-05-13 09:26:02,false,"Bristol Cardio","2.31","232","00:35:53","107","170","2.0","--","--","3.9","29.8","24","37","--","--","--","0.0","--","--","--","--","--","1,588","No","00:35:53","1","--","--","--","--","--","--","00:22:41","00:35:53","17","42"
Cardio,2024-05-13 09:17:25,false,"Bristol Cardio","1.41","119","00:07:57.8","159","184","3.1","--","--","10.6","14.0","23","25","--","--","--","0.0","--","--","--","--","--","1,204","No","00:07:57.8","1","--","--","--","--","--","--","00:07:56","00:08:03.5","15","41"
Cardio,2024-05-13 09:13:35,false,"Bristol Cardio","0.25","37","00:03:27.8","126","145","0.9","--","--","4.4","6.4","1","1","--","--","--","0.0","--","--","--","--","--","302","No","00:03:27.8","1","--","--","--","--","--","--","00:02:34","00:03:27.8","45","47"
Cardio,2024-05-09 09:10:31,false,"Bristol Cardio","1.99","257","00:40:12","106","193","2.1","--","--","3.0","12.6","22","33","--","--","--","0.0","--","--","--","--","--","2,588","No","00:40:12","1","--","--","--","--","--","--","00:21:24","00:40:12","25","46"
Cardio,2024-05-07 17:35:10,false,"Taunton Deane Cardio","1.17","95","00:06:48.0","152","171","2.6","--","--","10.3","17.8","3","2","--","--","--","0.0","--","--","--","--","--","1,002","No","00:06:48.0","1","--","--","--","--","--","--","00:06:39","00:06:48.0","28","31"
Cardio,2024-05-06 10:38:01,false,"North Somerset Cardio","5.17","324","01:04:59","97","138","1.1","--","--","4.8","58.5","75","128","--","--","--","0.0","--","--","--","--","--","3,626","No","01:04:59","1","--","--","--","--","--","--","00:23:01","01:04:59","17","131"
Cardio,2024-05-03 12:11:01,false,"Taunton Deane Cardio","2.50","354","00:35:53","130","156","3.0","--","--","4.2","5.8","25","27","--","--","--","0.0","--","--","--","--","--","3,068","No","00:35:53","1","--","--","--","--","--","--","00:32:17","00:35:53","28","47"
Cardio,2024-04-23 18:11:31,false,"Bristol Cardio","1.50","197","00:17:52","134","173","2.6","--","--","5.1","7.7","32","18","--","--","--","0.0","--","--","--","--","--","1,834","No","00:17:52","1","--","--","--","--","--","--","00:16:22","00:17:52","16","36"
Cardio,2024-04-23 17:53:42,false,"Bristol Cardio","2.51","203","00:17:13","136","168","3.0","--","--","8.7","17.1","9","35","--","--","--","0.0","--","--","--","--","--","2,330","No","00:17:13","1","--","--","--","--","--","--","00:15:36","00:17:13","10","44"
Cardio,2024-04-17 07:27:30,false,"Taunton Deane Cardio","1.18","100","00:08:04.1","140","158","2.4","--","--","8.8","9.7","4","1","--","--","--","0.0","--","--","--","--","--","1,250","No","00:08:04.1","1","--","--","--","--","--","--","00:08:04.1","00:08:04.1","28","31"
Cardio,2024-03-31 11:03:43,false,"Cardio","0.00","1,038","01:48:09","136","190","5.0","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","10,694","No","01:48:09","1","--","--","--","--","--","--","00:00:00","01:48:09","--","--"
Resort Skiing,2024-03-20 12:44:17,false,"Pen-Y-Bont Ar Ogwr Resort Skiing","4.34","682","01:09:30","134","169","3.5","--","--","7.2","41.1","3,316","2,257","--","--","--","0.0","--","--","--","--","--","--","No","00:01:03","35","--","--","--","--","--","--","00:34:05","01:09:42","-360","164"
Cardio,2024-03-13 16:09:22,false,"Cardio","0.00","254","00:20:52","140","165","3.1","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","2,054","No","00:20:52","1","--","--","--","--","--","--","00:00:00","00:20:52","--","--"
Cardio,2024-03-11 13:47:30,false,"Cardio","0.00","180","00:28:34","104","162","1.7","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","1,850","No","00:28:34","1","--","--","--","--","--","--","00:00:00","00:28:34","--","--"
Cardio,2024-03-06 08:57:14,false,"Cardio","0.00","726","02:18:17","104","136","2.0","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","3,664","No","02:18:17","1","--","--","--","--","--","--","00:00:00","02:18:17","--","--"
Cardio,2024-03-04 17:57:49,false,"Cardio","0.00","959","02:27:27","119","149","2.3","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","2,544","No","02:27:27","1","--","--","--","--","--","--","00:00:00","02:27:27","--","--"
Cardio,2024-03-01 11:08:30,false,"Cardio","0.00","88","00:10:04","118","153","1.0","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","46","No","00:10:04","1","--","--","--","--","--","--","00:00:00","00:10:05","--","--"
Cardio,2024-02-29 15:09:57,false,"Cardio","0.00","500","00:43:41","143","176","3.4","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","2,914","No","00:43:41","1","--","--","--","--","--","--","00:00:00","00:43:41","--","--"
Cardio,2024-02-28 10:12:43,false,"Cardio","0.00","129","00:10:00","142","157","2.5","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","282","No","00:10:00","1","--","--","--","--","--","--","00:00:00","00:10:00","--","--"
Resort Skiing,2024-02-10 09:44:10,false,"Les Gets Resort Skiing","3.01","213","00:42:08","97","130","0.5","--","--","4.4","35.9","4","449","--","--","--","0.0","--","--","--","--","--","--","No","00:42:08","1","--","--","--","--","--","--","00:25:08","00:42:12","1,162","1,610"
Resort Skiing,2024-02-09 10:09:00,false,"Les Gets Resort Skiing","9.49","1,198","03:44:05","103","156","2.0","--","--","3.6","48.2","942","1,342","--","--","--","0.0","--","--","--","--","--","--","No","00:25:41","5","--","--","--","--","--","--","01:28:25","03:52:06","1,164","1,621"
Resort Skiing,2024-02-08 09:29:00,false,"Les Gets Resort Skiing","44.29","2,264","06:52:52","106","162","2.7","--","--","9.8","66.3","5,980","6,335","--","--","--","0.0","--","--","--","--","--","--","No","00:06:54.9","18","--","--","--","--","--","--","04:18:07","07:29:02","968","2,221"
Resort Skiing,2024-02-07 13:46:04,false,"Champéry Resort Skiing","19.04","1,110","03:00:32","115","171","3.0","--","--","9.3","58.9","2,086","2,769","--","--","--","0.0","--","--","--","--","--","--","No","00:13:16","8","--","--","--","--","--","--","01:47:25","03:00:42","978","2,237"
Resort Skiing,2024-02-07 11:12:59,false,"Morzine Resort Skiing","12.73","699","01:50:48","110","170","2.7","--","--","12.4","77.0","2,225","2,182","--","--","--","0.0","--","--","--","--","--","--","No","00:00:15.7","5","--","--","--","--","--","--","01:11:45","02:29:15","1,511","2,262"
Resort Skiing,2024-02-07 09:21:16,false,"Les Gets Resort Skiing","0.00","--","00:00:00.8","93","93","2.0","--","--","15.3","14.1","--","--","--","--","--","0.0","--","--","--","--","--","--","No","00:00:00.8","1","--","--","--","--","--","--","00:00:00","00:00:00.8","1,211","1,211"
Resort Skiing,2024-02-06 09:03:09,false,"Les Gets Resort Skiing","37.78","2,785","07:34:49","115","191","3.8","--","--","10.2","84.3","6,308","6,297","--","--","--","0.0","--","--","--","--","--","--","No","00:09:48.0","17","--","--","--","--","--","--","03:30:59","07:34:55","1,119","1,982"
